Type,Amount,Customer ID,Recipient ID,Is Fraud
PAYMENT,9839.64,11231006815,21979787155,0
PAYMENT,1864.28,11666544295,22044282225,0
TRANSFER,181,11305486145,3553264065,1
CASH_OUT,181,1840083671,338997010,1
PAYMENT,11668.14,12048537720,21230701703,0
PAYMENT,7817.71,190045638,2573487274,0
PAYMENT,7107.77,1154988899,2408069119,0
PAYMENT,7861.64,11912850431,2633326333,0
PAYMENT,4024.36,11265012928,21176932104,0
DEBIT,5337.77,1712410124,3195600860,0
DEBIT,9644.94,11900366749,3997608398,0
PAYMENT,3099.97,1249177573,22096539129,0
PAYMENT,2560.74,11648232591,2972865270,0
PAYMENT,11633.76,11716932897,2801569151,0
PAYMENT,4098.78,11026483832,21635378213,0
CASH_OUT,229133.94,1905080434,3476402209,0
PAYMENT,1563.82,1761750706,21731217984,0
PAYMENT,1157.86,11237762639,21877062907,0
PAYMENT,671.64,12033524545,2473053293,0
TRANSFER,215310.3,11670993182,31100439041,0
PAYMENT,1373.43,120804602,21344519051,0
DEBIT,9302.79,11566511282,31973538135,0
DEBIT,1065.41,11959239586,3515132998,0
PAYMENT,3876.41,1504336483,21404932042,0
TRANSFER,311685.89,11984094095,3932583850,0
PAYMENT,6061.13,11043358826,21558079303,0
PAYMENT,9478.39,11671590089,258488213,0
PAYMENT,8009.09,11053967012,2295304806,0
PAYMENT,8901.99,11632497828,233419717,0
PAYMENT,9920.52,1764826684,21940055334,0
PAYMENT,3448.92,12103763750,2335107734,0
PAYMENT,4206.84,1215078753,21757317128,0
PAYMENT,5885.56,1840514538,21804441305,0
PAYMENT,5307.88,11768242710,21971783162,0
PAYMENT,5031.22,1247113419,2151442075,0
PAYMENT,24213.67,11238616099,270695990,0
PAYMENT,8603.42,11608633989,21615617512,0
PAYMENT,2791.42,1923341586,2107994825,0
PAYMENT,7413.54,11470868839,21426725223,0
PAYMENT,3295.19,1711197015,21384454980,0
PAYMENT,1684.81,11481594086,21569435561,0
DEBIT,5758.59,11466917878,31297685781,0
CASH_OUT,110414.71,1768216420,31509514333,0
PAYMENT,7823.46,1260084831,2267814113,0
PAYMENT,5086.48,1598357562,21593224710,0
PAYMENT,5281.48,11440738283,21849015357,0
PAYMENT,13875.98,1484199463,22008106788,0
CASH_OUT,56953.9,11570470538,3824009085,0
CASH_OUT,5346.89,1512549200,3248609774,0
PAYMENT,2204.04,11615801298,2490391704,0
PAYMENT,2641.47,1460570271,21653361344,0
CASH_OUT,23261.3,12072313080,32001112025,0
PAYMENT,2330.64,1816944408,2909132503,0
PAYMENT,1614.64,1912966811,21792384402,0
PAYMENT,9164.71,11458621573,21658980982,0
PAYMENT,2970.97,146941357,21152606315,0
PAYMENT,38.66,1343345308,21714688478,0
PAYMENT,2252.44,1104716441,21506951181,0
TRANSFER,62610.8,11976401987,31937962514,0
DEBIT,5529.13,1867288517,3242131142,0
CASH_OUT,82940.31,11528834618,3476800120,0
DEBIT,4510.22,1280615803,31254526270,0
DEBIT,8727.74,1166694583,31129670968,0
PAYMENT,2599.46,1885910946,21860591867,0
DEBIT,4874.49,1811207775,31971489295,0
PAYMENT,6440.78,11161148117,2516875052,0
PAYMENT,4910.14,11131592118,2589987187,0
PAYMENT,6444.64,11262609629,2587180314,0
DEBIT,5149.66,11955990522,31330106945,0
PAYMENT,7292.16,169673470,21082411691,0
CASH_OUT,47458.86,1527211736,32096057945,0
CASH_OUT,136872.92,11533123860,3766572210,0
CASH_OUT,94253.33,11718906711,3977993101,0
PAYMENT,2998.04,171802912,22134271532,0
PAYMENT,3454.08,1686349795,21831010686,0
PAYMENT,4316.2,11423768154,2404222443,0
PAYMENT,2131.84,11987977423,261073295,0
PAYMENT,12986.61,1807322507,2396485834,0
TRANSFER,42712.39,1283039401,31330106945,0
TRANSFER,77957.68,1207471778,31761291320,0
TRANSFER,17231.46,11243171897,3783286238,0
TRANSFER,78766.03,11376151044,31749186397,0
TRANSFER,224606.64,1873175411,3766572210,0
TRANSFER,125872.53,11443967876,3392292416,0
TRANSFER,379856.23,11449772539,31590550415,0
TRANSFER,1505626.01,1926859124,3665576141,0
TRANSFER,554026.99,11603696865,3766572210,0
TRANSFER,147543.1,112905860,31359044626,0
TRANSFER,761507.39,1412788346,31590550415,0
TRANSFER,1429051.47,11520267010,31590550415,0
TRANSFER,358831.92,1908084672,3392292416,0
TRANSFER,367768.4,1288306765,31359044626,0
TRANSFER,209711.11,11556867940,31509514333,0
TRANSFER,583848.46,11839168128,31286084959,0
TRANSFER,1724887.05,11495608502,31590550415,0
TRANSFER,710544.77,1835773569,31359044626,0
TRANSFER,581294.26,1843299092,31590550415,0
TRANSFER,11996.58,1605982374,31225616405,0
PAYMENT,2875.1,11412322831,21651262695,0
PAYMENT,8586.98,11305004711,2494077446,0
PAYMENT,871.75,11003206025,2989889899,0
PAYMENT,1035.36,1806813022,2902860396,0
PAYMENT,1063.53,11406206626,21816522350,0
PAYMENT,1019.9,11799230133,21521238608,0
PAYMENT,4059.38,120156341,21111897955,0
PAYMENT,1876.44,11509309988,21643141512,0
CASH_OUT,28404.6,12091072548,31282788025,0
CASH_OUT,75405.1,1263053820,31870252780,0
CASH_OUT,50101.88,11740826931,397730845,0
CASH_OUT,14121.82,169062746,3100555887,0
CASH_OUT,78292.91,11631227617,31983747920,0
CASH_OUT,176149.9,124650043,3736709391,0
CASH_OUT,212228.35,11896074070,3401424608,0
CASH_OUT,85423.63,1460741164,31590550415,0
CASH_OUT,11648.5,1781091365,3985934102,0
PAYMENT,6165.58,11858015030,225764044,0
PAYMENT,3705.83,1671596011,21925352804,0
CASH_OUT,419801.4,11687354037,333524623,0
CASH_OUT,335416.51,1743778731,3575335780,0
PAYMENT,3372.29,1967323951,21600594643,0
PAYMENT,661.43,1743648472,2692998280,0
DEBIT,864.68,11368862151,320671747,0
PAYMENT,1203.44,1922807452,233563464,0
TRANSFER,330757.04,11494346128,3564160838,0
PAYMENT,1915.43,1822087264,230699728,0
PAYMENT,8.73,138603201,21422273905,0
DEBIT,3058.8,11694784135,3801197928,0
PAYMENT,5154.97,11207231495,2756936249,0
PAYMENT,5213.25,11221981006,2264394929,0
PAYMENT,5392.75,11878413714,2769132147,0
PAYMENT,25.12,11257299717,21474957626,0
PAYMENT,17150.89,1181252244,21733022752,0
TRANSFER,679502.24,1722417467,3451111351,0
TRANSFER,177652.91,1753631393,3716157500,0
PAYMENT,5443.26,11262869688,21914108708,0
PAYMENT,244.87,1544386226,21357700757,0
PAYMENT,8281.57,1900298796,21889757798,0
PAYMENT,1175.59,11166106620,21932470703,0
PAYMENT,1097.74,1221861886,21713568869,0
TRANSFER,184986.8,1697508322,31688019098,0
PAYMENT,1718.29,1603658030,21689924104,0
PAYMENT,3671.32,1361380654,2631673932,0
DEBIT,3580.26,11579132337,31321640594,0
PAYMENT,8550.9,11795225096,2790094605,0
PAYMENT,9753.55,11048712791,2487792155,0
PAYMENT,3026.98,11909398279,21632670136,0
CASH_OUT,467177.03,11338905451,31170794006,0
DEBIT,3875.99,11252540239,31509514333,0
PAYMENT,2148.89,11136005694,2638486177,0
PAYMENT,466.97,1426019904,2314411620,0
CASH_OUT,154139.72,11642679791,3564160838,0
CASH_OUT,82685.93,1855700733,3392292416,0
CASH_OUT,83857.23,1247162961,31297685781,0
CASH_OUT,99109.77,11890266440,31297685781,0
CASH_OUT,187726.67,11527152775,3747464370,0
CASH_OUT,281339.92,11863655430,31509514333,0
CASH_OUT,186447.51,1976827477,31590550415,0
CASH_OUT,81029.86,1324112183,3288665596,0
CASH_OUT,139054.95,12092709730,31749186397,0
CASH_OUT,154716.2,1980364771,3453211571,0
CASH_OUT,53631.83,11233595751,3757108857,0
CASH_OUT,289645.52,11446001495,31023714065,0
CASH_OUT,267148.82,11261044180,3401424608,0
CASH_OUT,47913.58,1141110631,3240650537,0
CASH_OUT,193605.38,12029372696,31971489295,0
CASH_OUT,344464.4,1793293778,3766572210,0
CASH_OUT,169409.87,1888611662,3401424608,0
CASH_OUT,25793.74,11966355106,3476800120,0
CASH_OUT,114712.48,1599782425,31209271652,0
CASH_OUT,89038.75,11233327519,32083562754,0
CASH_OUT,1341.58,11155769010,3557041912,0
CASH_OUT,44443.08,1269892014,31590550415,0
CASH_OUT,34729.64,11280641161,31435804085,0
CASH_OUT,105979.34,1489411441,3736709391,0
CASH_OUT,57794.61,11141113940,3240650537,0
CASH_OUT,15918.79,11711185459,31854778591,0
CASH_OUT,19162.08,125936709,3885951223,0
CASH_OUT,220691.42,11123559518,31590550415,0
CASH_OUT,9536.54,1649769713,31060830840,0
CASH_OUT,29784.06,1925150995,3920011586,0
CASH_OUT,190445.51,11760219993,31360767589,0
CASH_OUT,57279.11,11800649922,3824009085,0
CASH_OUT,112086.81,1403547747,31531333864,0
CASH_OUT,80311.89,1172215878,3434091818,0
CASH_OUT,151829.91,1873309260,31023714065,0
CASH_OUT,26004.52,11112456099,31225616405,0
CASH_OUT,3146.16,1923083575,31504109395,0
CASH_OUT,296752.75,1589363823,31531333864,0
CASH_OUT,191702.06,12052457859,3985934102,0
